Name: base_model.model.output_blocks.3.1.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.3.1.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.norm.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.norm.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.qkv.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.qkv.bias, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.output_blocks.4.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.norm.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.norm.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.qkv.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.qkv.bias, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.output_blocks.5.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.norm.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.norm.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.qkv.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.qkv.bias, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.output_blocks.6.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.skip_connection.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.0.skip_connection.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.1.norm.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.1.norm.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.1.qkv.weight, Requires_Grad: False
Name: base_model.model.output_blocks.7.1.qkv.bias, Requires_Grad: False
Name: base_model.model.output_blocks.7.1.proj_out.weight, Requires_Grad: False
